dms_origst,dms_destst,dms_mode,sctg2,trade_type,dist_band,tons_2017,tons_2018,tons_2019,tons_2020,tons_2021,tons_2022,tons_2023,tons_2025,tons_2030,tons_2035,tons_2040,tons_2045,tons_2050,value_2017,value_2018,value_2019,value_2020,value_2021,value_2022,value_2023,value_2025,value_2030,value_2035,value_2040,value_2045,value_2050,current_value_2018,current_value_2019,current_value_2020,current_value_2021,current_value_2022,tmiles_2017,tmiles_2018,tmiles_2019,tmiles_2020,tmiles_2021,tmiles_2022,tmiles_2023,tmiles_2025,tmiles_2030,tmiles_2035,tmiles_2040,tmiles_2045,tmiles_2050,tons_2023_low,tons_2025_low,tons_2030_low,tons_2035_low,tons_2040_low,tons_2045_low,tons_2050_low,tons_2023_high,tons_2025_high,tons_2030_high,tons_2035_high,tons_2040_high,tons_2045_high,tons_2050_high,value_2023_low,value_2025_low,value_2030_low,value_2035_low,value_2040_low,value_2045_low,value_2050_low,value_2023_high,value_2025_high,value_2030_high,value_2035_high,value_2040_high,value_2045_high,value_2050_high
48,40,1,1,1,3.0,49.939448,51.42316,52.551346,55.116654,54.392099,56.384895,59.596151,67.383988,82.054375,95.806867,114.099685,138.196417,161.569295,192.467804,198.186068,202.534119,212.420879,209.628425,217.30871,229.684961,259.699664,316.239863,369.237271,439.734142,532.600895,622.669734,192.309049,192.771055,185.449451,230.360676,294.257492,14.923125,15.366495,15.703624,16.470201,16.253686,16.849183,17.808784,20.135984,24.519859,28.629313,34.09555,41.296177,48.280292,59.000189,66.71015,81.233831,92.79112,108.127759,128.175224,146.577761,60.788728,69.536456,90.259811,97.723002,116.381684,140.960344,164.800678,227.388111,257.102667,313.077465,357.612708,416.715509,493.974888,564.886301,234.281174,267.994536,347.86385,376.622016,448.528825,543.252913,635.123128
48,48,1,1,1,0.0014925373134328358,1.7350048872335516e+86,1.7865522962365904e+86,1.8257478871347252e+86,1.9148722849567408e+86,1.889699651331063e+86,1.9589337297534185e+86,2.0696110151832803e+86,2.3193402113420867e+86,2.8118196809676965e+86,3.3536018207717267e+86,4.0562609896325335e+86,4.884655371180414e+86,5.78106724208026e+86,388.024217,399.552508,408.318385,428.250562,422.620842,438.104661,462.852366,519.398346,629.297229,748.349218,904.240273,1087.15723,1281.310141,387.704159,388.635587,373.874885,464.418043,593.237053,7.221241,7.435787,7.598922,7.969865,7.865095,8.153253,8.614349,9.639729,11.685924,13.951042,16.879674,20.337691,24.103231,135.079555,151.372839,182.852803,218.084934,265.937753,317.162337,370.983713,141.41277,160.490602,203.169788,224.687242,271.738167,327.275153,387.335354,459.938252,516.299592,623.004258,740.865726,902.594575,1074.766662,1252.030389,481.293069,546.942566,692.226952,763.29264,922.163108,1108.900374,1306.936344
48,48,1,1,1,0.14925373134328357,5.059383183758924e+45,5.209698660871166e+45,5.323995464169027e+45,5.583887815814116e+45,5.5104828141962876e+45,5.712373754872277e+45,6.037403424101421e+45,7.1084732809708e+45,8.6587245000165e+45,1.0205308190781155e+46,1.2295029773105842e+46,1.4799246492432777e+46,1.7296242863277155e+46,15444.111809,15902.960034,16251.858821,17045.197922,16821.124158,17437.410006,18429.89926,21731.614052,26478.743814,31201.317898,37592.195334,45250.062555,52863.193349,15431.372892,15468.445512,14880.941104,18484.733335,23611.978296,865.68801,891.407807,910.964611,955.433607,942.873613,977.418252,1033.030985,1216.006035,1481.157913,1745.820514,2103.313939,2531.749185,2959.210912,4844.552867,5704.028358,6947.500823,8188.432919,9820.943501,11610.273691,13319.241962,5044.419388,5984.917123,7719.445354,8436.56699,10164.10707,12234.302942,14298.530053,18246.823664,21515.806111,26213.956378,30889.304721,37049.510103,43800.966712,50227.715231,18999.624003,22571.532268,29126.618197,31825.344257,38344.039241,46155.063806,53920.457217
48,46,5,2,1,0.0014925373134328358,4.69265780272475e+35,3.1697557493956892e+35,4.358515533534724e+35,3.9156959243654165e+35,4.238551430012819e+35,2.506742873029555e+35,4.2909301230998486e+35,4.46976111911053e+35,4.827625867363198e+35,5.293559686901235e+35,5.680148234588725e+35,6.046663915377057e+35,6.188998789752911e+35,0.904342,0.610861,0.839942,0.754615,0.816831,0.483082,0.826926,0.861385,0.930356,1.020141,1.094645,1.165279,1.192707,0.652756,0.926661,0.819726,1.420632,1.023558,0.101511,0.068568,0.094283,0.084704,0.091688,0.054225,0.092821,0.096689,0.10443,0.114509,0.122872,0.1308,0.133879,0.062854,0.065474,0.070716,0.077541,0.083203,0.087954,0.087757,0.064892,0.068244,0.078573,0.080037,0.085725,0.091256,0.093404,0.818656,0.852771,0.921052,1.00994,1.083698,1.145576,1.14301,0.845202,0.888859,1.023392,1.042454,1.116537,1.188585,1.216561
48,48,1,2,1,0.0014925373134328358,1.4563153694450336e+35,9.83704831690128e+34,1.352607942046061e+35,1.215201759368829e+35,1.3153909587052615e+35,7.779358560644282e+34,1.369235041273066e+35,1.3954138762586644e+35,1.4642081325271675e+35,1.5266306564276269e+35,1.6018217347771242e+35,1.672234242731469e+35,1.7563066585396438e+35,731.755369,494.282563,679.645456,610.602918,660.945024,390.889742,690.26911,703.775036,738.428199,770.495006,808.997799,844.832779,888.028077,528.182472,749.815342,663.287681,1149.515586,828.220196,206.994579,139.819694,192.254038,172.723699,186.964173,110.57255,196.425559,200.502063,210.894313,220.248239,231.543022,241.926854,254.361485,3672.002779,3757.544177,3915.548792,4082.477353,4302.223063,4448.651499,4621.768376,3802.030808,3897.286301,4205.244102,4185.351573,4393.250176,4607.357103,4838.994466,685.180835,701.743499,731.043918,762.790056,804.374717,832.108528,865.302828,709.618565,727.642014,785.144551,781.873155,821.404851,861.729436,905.788639
48,48,1,2,1,0.14925373134328357,2.3103952279790866e+34,1.5606145452687958e+34,2.145866895676136e+34,1.927876617287733e+34,2.086823402871909e+34,1.234169007057358e+34,2.0061781640352406e+34,2.0183853615162154e+34,2.054738879194605e+34,2.105208977336881e+34,2.1580012288871626e+34,2.222113375325748e+34,2.2794138934863713e+34,89.718157,60.602383,83.32913,74.864047,81.036328,47.925727,78.727219,79.501036,81.649526,84.763837,87.806456,91.38037,94.182909,64.758744,91.932432,81.323554,140.938385,101.545398,104.509085,70.593291,97.066764,87.206129,94.395974,55.826756,91.630308,92.360112,94.810901,97.966137,101.194056,105.000777,108.160145,538.135528,543.223244,549.473101,562.969693,579.298597,592.929866,601.240169,557.729876,565.270023,594.079473,577.076413,593.379083,612.238991,628.026491,78.172118,79.207133,80.833031,83.916199,87.278258,90.247334,91.955752,81.044593,82.419648,87.662388,85.924576,89.406126,93.207976,96.066566
48,48,1,2,1,0.373134328358209,1.3224870238523531e+36,8.933071111814316e+35,1.2283098077467892e+36,1.1035305894189669e+36,1.1945128859123938e+36,7.064473098435856e+35,1.1948803096763071e+36,1.1975590241782953e+36,1.2121508532726267e+36,1.2329533229477758e+36,1.254800844916227e+36,1.2787412457704025e+36,1.3052181007289644e+36,5000.481226,3377.700771,4644.385935,4172.580824,4516.595743,2671.161566,4518.583658,4528.801703,4584.219482,4663.536195,4746.493565,4837.585718,4937.7455,3609.357238,5123.894806,4532.60439,7855.263312,5659.677691,11659.997067,7876.038185,10829.662977,9729.519615,10531.684999,6228.54774,10529.493654,10551.240581,10677.601842,10858.217974,11048.169985,11257.401386,11489.02531,32223.550836,32029.082324,32415.032473,32971.328683,33638.804673,33824.990296,34003.399768,33156.357114,33487.427549,36011.31374,33969.798128,34571.51372,35232.012737,35961.504781,4511.221586,4484.158037,4538.377287,4616.900834,4710.698358,4737.335558,4762.339241,4641.834489,4688.259908,5042.359503,4756.772391,4841.376919,4934.337433,5036.500413
48,47,5,3,1,0.14776119402985075,1.8510382570492013e+27,1.5918929010623125e+27,1.443809840498377e+27,1.29572677993444e+27,1.5918929010623125e+27,1.1106229542295205e+27,2.0361420827541205e+27,2.0731628478951038e+27,2.2582666736000248e+27,2.5174120295869125e+27,2.739536620432817e+27,2.998681976419705e+27,3.220806567265609e+27,1.348770197863796,1.1599423701628646,1.0520407543337609,0.944139138504657,1.1599423701628646,0.8092621187182777,1.4836472176501756,1.5106226216074514,1.645499641393831,1.8343274690947626,1.9961798928384182,2.1850077205393497,2.3468601442830046,8.7e-05,7.8e-05,7.3e-05,0.0001,8.4e-05,5.3e-05,4.5e-05,4.1e-05,3.7e-05,4.5e-05,3.1e-05,5.8e-05,5.9e-05,6.4e-05,7.2e-05,7.8e-05,8.5e-05,9.2e-05,5.4e-05,5.5e-05,6e-05,6.8e-05,7.3e-05,7.8e-05,8.3e-05,5.6e-05,5.8e-05,6.7e-05,6.9e-05,7.6e-05,8.3e-05,8.9e-05,0.000108,0.000111,0.00012,0.000135,0.000145,0.000157,0.000166,0.000113,0.000116,0.000134,0.000138,0.000151,0.000166,0.000178
48,48,1,3,1,0.0014925373134328358,7.007573701376161e+34,6.083614017051977e+34,5.406909814722109e+34,4.925632352673994e+34,5.994939929391968e+34,4.156557861365449e+34,6.933936108364722e+34,7.146944691194005e+34,7.698572890939206e+34,8.33742068801317e+34,9.047776825089415e+34,9.790895143544714e+34,1.044538748282431e+35,2643.292225,2294.769963,2039.513716,1857.973424,2261.32165,1567.874637,2617.864137,2695.510897,2901.500124,3138.011835,3398.795596,3665.592803,3909.721686,2306.581555,2059.37266,1918.586364,2653.887087,2232.40184,74.891597,65.017023,57.784924,52.641399,64.069342,44.422117,74.494234,76.894081,83.075644,90.211306,98.113403,106.305792,113.559441,1857.269448,1923.677372,2058.733066,2229.572157,2428.179918,2603.186233,2747.612711,1925.349694,1996.383781,2193.933332,2281.172133,2477.826136,2697.539495,2877.924,2596.52002,2685.576488,2872.485124,3106.631714,3376.516789,3607.159461,3806.059586,2689.334517,2785.74324,3091.981737,3178.939184,3449.817211,3738.846593,3987.916121
48,48,1,3,1,0.14925373134328357,4.0064423015620494e+34,3.478186543641831e+34,3.091294240523498e+34,2.8161333313289694e+34,3.427488886260386e+34,2.376430118194724e+34,3.728570013741054e+34,3.782693550516187e+34,3.9199429617294825e+34,4.092175174579367e+34,4.292991575550013e+34,4.530722484661536e+34,4.726042764328971e+34,479.460459,416.242836,369.942518,337.013358,410.175728,284.393033,449.54088,458.424412,480.684909,507.664931,538.933938,575.260038,606.388087,418.385315,373.544684,348.007794,481.382236,404.930032,167.188549,145.144476,128.999486,117.517042,143.028864,99.168259,156.401279,158.898238,165.462232,173.512641,182.914006,194.060143,203.134707,1000.03076,1019.289247,1048.261323,1094.319224,1151.059052,1210.250759,1247.42701,1034.148992,1058.587464,1116.770763,1118.255494,1179.852827,1248.309379,1302.124208,446.206799,456.967712,475.878063,502.588282,535.85035,567.883691,591.946776,461.850653,474.743528,520.736668,511.781837,549.106558,586.765238,618.515849
